no,content
792,대구여행 앞산 카페거리 금토끼 비가 추적추적 내리던 대구여행의 밤 일본 가정식... 테이블 느낌마저도 남달랐던 대구 카페 금토끼~ 저녁시간에는 주인분으로 보이시는...
793,2018.02.10~11 대구 여행 한시쯤 대구 도착 배고픔부터 해결하려 들른 곳은 중앙로역에 있는 맨션5 근대골목 투어를 하기위해 가까운곳으로 알아보던 중 이곳에 대한...
794,"하프 문 (HALF MOON) 대구 수성못 근처 바(Bar), 하프문 대구 여행을 준비하면서 대구... 칵테일 한 잔이 치킨가격만 하지만 여행에서야 그 정도 쓸 수 있지! 게다가 내가 이..."
795,다시그리는 김광석길 대구여행에서 만나보세요!!! 주변 카페골목과 함께 재미난 놀이도 있고 근처 맛집도 많이 있어 즐거운 여행이 되실겁니다!! 이상 김광석길 이였습니다!
796,[대구여행] 대구 관문시장 주변관광지 대구 두류공원(성당못) 맑은피부예요~ 대구 전통시장(재래시장)중 달서구에 위치하고 있는 관문시장을 소개해 드렸는데요...
797,"달성도동서원은 대구 달성군 구지에 위치해 있는데요. 대구에서 엄청 외진... 나중에 늙어서 '나도 이렇게 널 데리고 다녔으니, 너도 날 데리고 여행을 좀 다녀다오.'라고..."
798,"대구 비슬산에는 유명한 사찰로 유가사, 소재사, 대견사가 있는데 비슬산 휴양림... com/sil8004/221524764260 대구여행/진달래명소/비슬산~운해와 어우러진 활짝 핀..."
799,삼덕동 이웃 : 삼덕동 맛집이자 깔끔한 밥집 앞에 쓴 대구여행 (사실은 출장)에... https://m.blog.naver.com/PostView.nhn?blogId=styleandmiu&logNo=221331058453 대구에 도착해서 숙소에...
800,[대구여행] 커피명가 라핀카 (대구데이트코스) 여행에서 만나는 달달하고 시큼한 행복.진한 커피향이 흘러 나오는곳.라핀카.그곳에서 만난 커피한잔. 개인적으로...
801,"[대구여행] 젊음의 거리, 대구 동성로 대구 동성로 하면 개인적으로 추억이 많은 곳이다. 대구에서 2년간 살 때, 살던 지역이 칠곡이였는데 근처에서는 딱히 할게 없었다...."
802,동성로 중앙떡볶이 이번 여행 컨셉은 대구 맛집투어 도착하자마자 짐풀고 납작만두 먹으러 사람이 너어무 많이서 번호표 뽑고 대기하고 주문도 순서 기다렸다 번호를...
803,대구 신세계백화점 아쿠아리움 후기 ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/darki113/221278397326 대구 신세계백화점♩삼형제 대구여행 대구 얼라이브...
804,그러면 대구에는?... 네... 대구 #이월드 (EWORLD)가 있습니다. 이곳은 낮에가도... 동영상으로 감상해보아요~^^ < 이번 대구여행은 '2018 가을여행주간 대구 여행지원...
805,"대구여행 (3) 푸나왈라 (인도커리) 수성못 - 비행기카페 오늘은 서울 가는 날 , 점심... ((베베는 대구사는 친구한테 추천해줬음;;ㅋ)) ((여행객이 현지인한테 맛집소개)) 밥..."
806,가을여행하기 좋은 1박2일 대구여행 7편을 소개할게요 대구여행의 꽃이라고 할 수 있는 서문시장으로 고고고!!! 맛있는 먹거리와 대구의 정을 느낄 수 있는 대구...
807,엄청난 먹방 여행을 찍을거라고 생각했던 대구여행 생각보다 많이 먹지 못했던 대구여행 다음에 또 먹으러 가야 할 집이 한가득인 대구 그리고 단팥빵의 도시 대구...
808,"대구 여행 3가지 테마의 겨울 여행 대구 온천 & 실내 가볼만한곳 & 먹방 짠~ 제멋대로가 겨울 여행 테마 세 가지로 '대구 온천, 실내 가볼만한곳, 먹방'을 가지고..."
809,"여러분, 대구여행을 이곳에서 먼저 시작해보시는것은 어떨까요? 여행블로거 티아라와 함께 가봅시다. 대구 중앙로역에서 그 날의 희생자들을 추모하다 2003년 2월 18일..."
810,이번에 친구들과의 대구여행은 모두 나랑 같이 내려간 친구의 추천일정과 식당들이다. 얘가 최근까지 대구에서 살기도 해서였을 수도 있고 친한 신문기자친구가...
811,대구 여행느낌으로 오늘 대구에 다녀왔는데요~ 자주 찾는 대구지만 더 여행느낌이 난 이유는 평소와는 다른 일정때문이 아니었을까 싶어요! 대구 중구 가볼만한 곳!...
812,"두근두근 srt 대구는 처음이라서 기대가 됐어요. 대구 가고싶었던 이유가 카페랑... 찍구, 여행가는 날은 늘 설레나봐요 첫 시작은 프리티나베 대구여행의 처음을 잘..."
813,"납작만두,대구 미성당납작만두,대구여행코스,가을여행,주말여행 2018. 09. 29. 토요일 주희의 손가락 놀이터 오늘의 대구여행이야기는 대구에서 꼭 맛봐야 할 음식 대구..."
814,대구여행 2박3일②★대구근교 포항 영일대&서문 야시장 안녕하세요~ 아추입니다!... 그 이후로 물회에 빠져서 저번주에 다녀온 울산여행에서도 물회먹었는데 이 때의...
815,http://lsy5088.blog.me/221377289625 '' & ' 오늘은 #가을여행주간을 맞이하여 #대구여행을 가게되면 꼭 먹어봐야 할 음식 3가지를 소개해볼까 하는데요. 이른바... #대구음식...
816,대구야경과 함께하는 대구여행의 밤 조명 하나로 이렇게 분위기 있어질 줄이야- 사실 이 집이 직접 살기에는 베란다만 너무 쓸데없이 넓은데 ㅋㅋ 이렇게 여행오니...
817,대구여행 / 대구 방천시장 대구여행길에서 만난 대구 방천시장... 어쩜 이런 발상을 했을까요~ 대구 방천시장 골목여행을 즐기며 시간 가는 줄 모르고 곳곳을 누볐답니다....
818,부산출발 당일치기 대구여행 코스 부산에서 당일치기로 대구 여행 갔다왔어요! 오전 11시 버스를 타고 동대구로 출발!! 한시간 이십분 정도 걸렸어요!...
819,급 대구여행을 왔어요~ 1박2일 대구여행! 해장을 해야해서 대구 도착하자마자 신세계백화점으로 ㅋㅋ 탄탄면공방에서 라멘으로 해장! 땅콩소스?그맛이 강해서...
820,우리 가족 대구여행의 으뜸 여행지로 올려놓습니다. 올해 '대구 방문의 해'를 맞이하여 온 가족과 함께 대구여행 일정을 잡아봐야겠습니다.. 허브힐즈... 신록의...
821,"시간을 거슬러, 2017년 10월 대학 동기들과 대구여행을 다녀왔다. 이번 여행 컨셉은 신호등 당시 기억으론, 대구 날씨는 쌀쌀했으며 바람이 굉장했다. 주절주절 뭐라고..."
822,대구여행 55년전통 고전음악다방 하이마트 3대를 이어온 고전음악다방 대구에... 바램이예요 대구에서 타임머신을 타고 과거로의 여행을 한듯한 장소였습니다....
823,1박2일 대구여행은 근대문화역사투어와 대구먹방 위주로 여행코스를 잡았어요. DAY 1 작년 통영에서 차표가 없어서 동대구역으로 오게되는 바람에 잠시 지나쳤던...
824,"대구여행,사택,카페,추천합니다! 비비앙뜨 갱미콩미에요:) 백조가 된지 어느덧... 우쥬언니랑 대구 놀러간날:) ktx 타기전 허기진 배를 채우고 갑니다 대구!! 처음 가보는..."
825,이름이 잘 기억나지는 않지만 노란색의 털을 갖고 있어요 아주 희귀한 동물 같던데........혹시 대구의 달성공원 여행해보신 분 ? 아세요 ? 더운 여름날 다녀온 대구여행은...
826,꼬북이와 대구 여행 !!! 첨에 경찰역사체험관 가려고 했으나 ㅠㅠ 공휴일이라... 쉰다고 하셨어요! 옆에 근대 역사관이 보여서 근대역사관으로 들어가보았답니다 대구...
827,#지방선거 #대구여행 #대구힐크레스트 #대구허브힐즈 #허브힐즈 #대구가볼만한곳 #아기와가기좋은곳 #힐크레스트 #경북여행 #아기와여행하기 대구여행 ♡ 아기와 가기...
828,대구여행 송해공원 대구 가볼만한곳 옥연지 송해공원 봄나들이 봄꽃놀이 송해공원 옥연지 송해공원 사실 송해공원 있는지도 몰랐는데 이름 듣고 얼마나 웃었는지...
829,"삼척 가는 길, 포항에서 잠깐 멈췄을때 저는 예쁜 하늘을 보는 걸 제일 좋아하는데 대구 여행을 마치고 집에 돌아가는 길 하늘이 너무 예뻐서 행복했던거같아요. 대구 ㅠ..."
830,"05 - 07 한낮의 뜨거운 태양만큼 강렬했던 대구여행 2박 3일 코스 1일차 동대구역... 처음 갔던 곳은 너무 더워서, 다른 집으로 옮겨서 또 먹었다 (....) 돼지런한 여행 몇..."
831,"하루, 대구여행 대구중구골목투어:근대路의 여행 2코스 근대문화골목 4. 구제일교회, 에코한방웰빙체험관, 교남YMCA회관 대구 제일교회의 구예배당. 1893년 대구..."
832,"대구여행코스, 대구 가볼만한곳 하면 나오는 김광석거리,서문시장 등은 예전에 다 가봤고 더운 여름이 지나가고 가을이 시작됐으니 대구 하중도 코스모스 보러 가기..."
833,대구여행 아름다운 한옥마을 옻골마을 대구를 몇번을 찾았지만... 옻골마을이란 곳이 있는줄 처음알게된 여행이었어요 주로 시내 골목투어를 했었는데 생각했던것보다...
834,"대구여행 3일차, 2018. 5. 11 예전에 대구사진비엔날레할때 친구와 2인전 하느라... 도시도 다 거기서 거기라고 생각했었는데 이번 여행에서는 대구를 새롭게 보는 계기가..."
835,대구 여행 . 대구 가볼만한곳 . 가을여행지 추천 . 달성습지 . 코스모스 . 불어닥치는 바람 때문에 머리카락은 뒤집어지고 초점이 맞는 사진을 찍기도 힘이 듭니다...
836,"저번 여행에선 서문시장에서 떡볶이와 납작만두를 먹었는데, 대구친구가 중앙떡볶이가 더~~ 맛있다고해서 이번여행에 오면 꼭 여기서 먹으라고 추천을 해줘서..."
837,2017.9.14 당일치기 대구여행! 혼자 기차타구 대구로 갔다! 젤 첨으로 간 곳은 동성로 이자와! 원래는 점심으로 도쿄다이닝 갈랬는데 휴무일이었던것ㅠㅠ 그래서...
838,"대구여행, 그 세 번째 이야기 김광석 거리 사실 딱히 볼 거는 없는 그 곳 그럼에도 꼭 한 번은 걷고 싶던 그 길, 그 골목 @2015 11 대구 김광석거리. 핸드폰으로 담다...."
839,대구여행의 1코스로 자리잡은 김광석길.. 대구 김광석길은 대구 중구 대봉동에서... 대구여행.. 그 여행에 너를 초대하곱다.. 저~~~기로 뛰어가는 고등학생의 뒷모습.....
840,18.07.18~20 2년 전 제주도 여행 후 정말 오랜만에 성윤 언니랑 가는 대구 여행 전 날... 같은 대구 일찍 도착한 우리는 근처에 그나마 일찍 문 여는 버건디로 왔다!...
841,두번째 대구 배롱나무꽃 명소 8월 대구여행 꼭 가볼만한곳 배롱나무꽃 핀... 서원과 배롱나무꽃 한폭의 그림을 보는듯 너무나 잘 어울리는 모습 주말 드라이브 여행을...
842,이번 여행은 이 중에서 대구역에 내려 대구 근대로의 여행을 떠나보도록 하겠습니다. 청라버스 대구 근대문화가 모여 있는 골목을 누비는 특별한 관광버스가 하나...
843,2019년 6월 19일 수요일 엄마랑 동생이랑 여자들끼리 대구로 여행을갔다 사실 여행은... 맛집도가고 카페도가고 그래야지 #대구#대구여행#동성로맛집#동성로해쉬#김광석거리
844,KTX 서울행 내부 2019년 첫 출사 대구여행과 대구선 답사를 마치고 서울역에 도착하여 집으로 귀가합니다 2019년 01월 02일에 다녀왔습니다.
845,30 대구 놀러 온 제민이랑 다니는 1박 2일 대구 여행 대구 동성로 #든해 학교 수업을 갔다 온 후 재빨리 둘째 날 여행을 시작했다 가는 길 지하철에서 폭풍 검색으로 찾은...
846,"주말에 당일 데이트로 대구를 다녀왔어요!ㅎㅎ 대전 근교 데이트로도 좋은!대구 나들이ㅋㅋ 저는 대구 여행은 처음이였는데, 가볼만한 곳이 많더라구요~^-^ 대구..."
847,오늘은 즐거운 토요일이 조금은 아쉬운 밤이랍니다 그래서 오늘은 기분 좋았던 가을여행지!! 1박2일 대구여행 4편 대구예술발전소 수창청춘맨숀 근처 예쁜 카페...
848,이번 대구여행은 운이 좋게도 따뜻한 남쪽나라 단풍여행이였다 대구 달성군의 가는 여행지마다 울긋불긋 오색물감을 풀어놓은듯 화려한 단풍들이 어서 오라는듯...
849,뜸했지만 대구여행에서 먹었던 #대구맛집 #제일콩국 을 소개 안해드릴수가 없어서 이렇게 후기써여. 저는 아침을 꼭 먹는 스타일은 아닌데 여행가면 꼭 챙겨여! 그래야...
850,#대구근교 #대구달성가볼만한곳 #화원 #대구여행 대구 달성군 옥포읍 기세리 옥연지 송해공원 옥연지 근처에서 식사하고 소화도 시킬겸 송해공원 산책하기...
851,"'대구 여행' 커피명가 동성로 맛집 대구여행시, 꼭 방문하여야 할 곳이라고 하는... 케익은 시즌 메뉴라는데,ㅜ 내년에 또와야곘어요 ㅠ 대구 가면갈수록 맘에 쏘옥 들옹"
852,"대구여행, 대구가볼만한곳 디아크 4대강 사업으로 자연스럽게 생겨난 물문화관, 많은 물문화관 중에서 가장 아름다운 곳은 대구 달성에 있는 디아크가 아닐까 낙동강..."
853,일상 / 대구여행 3월 일상 포스팅입니다. 처음 가 본 대구! 꼭 가보고 싶었지만 여유가 없어서 못갔었는데.. 시간이 맞아서 짧게 1박2일로 다녀왔습니다 여행가는 길에는...
854,다음 주나 지나야 많이 피어 있을 것 같네요. 작년 포스팅은 참고용으로.... [대구여행] 남평문씨본리세거지 대구광역시 달성군 화원읍 본리리
855,대구시여행 대구여행 대구남구청관광 대구남구관광 대구시남구관광 대구남구관광 대구시남구맛집 대구남구맛집 대구시맛집 대구맛집 할로윈 앞산카페거리...
856,대구여행 대구카페 브릴리언트Brilliant 오픈시간에 딱맞춰 도착햇는데 문은... 사진충이랑 여행해서 고생하신 우리동료들 하튜하튜 히터기가 고장났는지 카페에...
857,좋은 여행코스인 것 같아요^^ 미도다방 그야말로 옛날 다방 그대로를 간직하고... 참 많이도 다녔던 대구 이제야 조금 알게 된 것 같아요 *^^* 대구여행 #4.근대골목투어
858,대구 여행 최고의 숙소를 발견!! 전주-대구 강의 일정이 잡혀서 대구에서 숙박을 해야했는데 처음에는 인터불고나 노보텔같은 호텔 위주로 알아보다가 출장비 얼마나...
859,대구여행 - 대구 야경명소 앞산 전망대 하중도 코스모스 길에 갔다가 야경 보러 앞산 전망대로 향했다. 대구 동성로를 중심으로 하중도는 북쪽 앞산 전망대는 남쪽 끝과...
860,멀리 교통비도 많이 들여서 찾아갔는데 볼거리가 좀 섭섭했지만 그래도 좋은 사람과 함께였으니 뭐...이번 대구여행 즐겁게 하고 왔다죠! 참고로 대구는 야경이...
861,대구에 삼덕동도 유명하길래 가볼까 했는데 아놔??? 삼덕동이 동성로랑 거의... #밍범쥬국내여행 #대구여행 #카페투어 #일상 우리의 첫번째 대구여행 성공적 아직 못가본...
862,대구여행 가볼만한곳 옥연지 송해공원 야경. 지난번 올렸던 얼음빙벽은 보국사... 싶은 대구 야경 명소입니다. 겨울밤은 많이 춥습니다. 따숩게 입고 가시길......
863,"ktx타고 대구로~~~~~~ 갑니다 갑니다 대구 갑니다 집에서 싸 온 음식들 ,, 사실 여행... 이번 대구 여행에서 남는 것은 ????? 오빠의 잠(재)력...ㅋㅋㅋㅋ 정말 마음에 드는..."
864,여행을 가본 적이 없어서 여러 곳을 물색하다 결국 가게된 곳이 내고향 대구였다.... 대구여행에서 가장 맛있게 먹었던 수성못 디저트 까페에서의 '티라미수' 내 젊은...
865,"오늘 이야기 첫번째는 대구명물 ""원조할매 떡볶이""이야기 입니다.. 꼬장아우가... 힘든 여행이 될수 있었을 ""대구여행"" 덕분에 잘먹고,잘자고, 잘보고 온 행복했던..."
866,"대구여행2일차 , 여행대참사 맛집실패담 여행에 있어서 가장 중요한 이슈는 바로... 대구여행에서는 우리 입맛에 맞는 식당을 못찾는 바람에 대 참사했어요 휴휴 대구..."
867,"이번 대구여행에서 그 의문점이 풀리기 시작했는데요 90년대를 사로잡았던... + 대구 닭똥집 골목과 대구를 여행하면서 다양한 치킨 음식점을 보니, 이곳이 치킨의..."
868,우린 소주를 몇병이나 비운걸까 ㅎㅎ 한국에서 보니 더 반가운 사람들~ https://blog.naver.com/mjymodel/221565365840 [대구/거제도여행] ② 5/2- 대구여행: 대구숲 에코테마파크...
869,있어서 대구의 오래된 골목들을 마치 우리 동네를 걷듯이 여행할 수 있었어요. 여행의 마지막 날인 일요일 아침. 빗소리에 미닫이문을 살짝 열어보니 마당에 촉촉하게...
870,있다면 대구 달성엔 하엽정이 있죠. 하엽정은 달성군 하빈면 묘동에 있는 사육신... 대구 달성군에 이런 고택이 남아있나 싶을 정도로 잘 만들어진 묘골마을이에요....
871,블라디 다녀온 다음 주 또 다시 대구여행 멤버도 크게 달라지지 않았다 셋에서 +2 내 생의 첫 대구! 도착하자마자 대프리카 답게 너무 따뜻하고 화창했던 날씨에 기분이...
872,"대구여행 9/28 - 9/29 대구여행은 오래전부터 계획되어있었다. K리그에서 대구... 다음번엔 진정한 대구맛집을 가고싶다ㅋㅋ대구 막창은 조그음 아쉬웠지만, 당초 여행의..."
873,대구여행 수성못 데이트 ♡ 정확히 1년 만에 다시 찾은 대구! 애인님 생일! 그 전날 대구에 강풍주의보 발령도 있었고 엄청 추웠다고 해서 걱정했는데 이 날은 낮에 정~말...
874,오늘은 대구에사는 현지인으로서 대구여행코스 하나를 추천해볼생각이다.... 할아버지 뒷모습을 보고있으니 왠지 시간여행이라도 한 느낌이자나. 여기가 이상화고택....
875,"집앞여행이져, 대구여행을다녀왔당 삼성라이온즈파크에서 SK v 삼성 전이 열리는... 전부터 대구 콩국을 꼭 한번 먹어보고 싶었는데, 생각보다 너무 맛있오, 동지니가..."
876,날씨가 화창한 날 가족들과 다시 대구여행을 하면서 대구 중구 골목투어 근대로의 여행을 하고 싶군요. 이 날 저희가 도보로 걸은 건 2코스 근대문화골목 일부였습니다....
877,※ 대구 중구 근대路의 여행 골목투어 2코스 근대문화골목 - 계산성당 - 대망의... 추억도 되살려보기도 하고 더불어 스탬프 찍기도 하며 나름 알찼던 대구여행은 여기서 끝!
878,"곳이 대구인데요, 가을여행주간을 맞아 반가운 대구여행의 기회가 있어 다녀왔습니다. 한국관광공사 주관, 여행창작소 진행의 1박2일 대구 여행코스에 합류하게 되어..."
879,여행자가 대구를 여행한다면 꼭 오르고 싶어 했던 산 앞산을 케이블카를 타고... 올라 대구를 한눈에 내려다볼 수 있는 장소인 앞산 전망대 대구 여행 중 사랑하는...
880,저희와 함께 대구로 여행 떠나보아요. 저희는 2팀의 동갑내기인데요. 이번 기회에 더 친해져 보자! 하는 목적으로 같이 밥 먹으면 더 친해진다는 콘셉트로 먹투어를...
881,"첫 여행에서 최대 \44,000 할인 혜택을 받으세요. Unforgettable trips start with Airbnb.... 주세요잇 #대구여행 #대구숙소 #대구숙소추천 #대구에어비앤비..."
882,"안녕하세요, 대구 게스트하우스 <다님백패커스> 입니다. :) 안녕하세요, 다님의 Amie... 한국이 좋아서 대만에서 홀로 여행 오셨지만 이렇게 스탭들과 함께 여행을..."
883,"The End 대구여행 1. 대구미술관, 대구스타디움, 망고식스 대구여행 2. 인터불고 호텔, 안지랑 곱창골목 대구여행 3. 계산성당, 근대문화골목 대구여행 4. 동성로에서 먹은..."
884,여행해봐요! 시티투어 버스타고 대구여행 대구 시티투어 대구여행에 꼭 필요한 필수어플로 가장 먼저 추천해드리는 어플은 대구 도심을 편하게 돌아보기 위해서 가장...
885,#대구여행 #대구가볼만한곳 #김광석거리 #김광석벽화거리 봄느낌물씬 ~~~~~ 청낌날이랑 청댕이랑 ㅎㅎ 해마다 커지는 몸뚱스^.ㅠ 그래도 추억이니깐 남겨야지! 기타치는...
886,대구 여행코스 5. 김광석 거리와 계명대학교 대명캠퍼스 계명대학교 내에 건물이... 다음으로는 김광석 거리로 대구 여행 코스 하면 김광석 거리가 꽤 유명하길래 한 번...
887,대구 여행 . 대구 가볼만한곳 . 가창 포니목장 . 단풍놀이 . 포니목장까지 올라가는 길 내내 차창 밖으로 펼쳐지는 단풍이 너무 아름다워서 눈을 뗄수가 없었어요...
888,"이번 대구여행 KTX를 타고 신나게 달려 도착한 동대구역. 푸른 하늘이 좋고, 서울보다 따뜻한 날씨가 좋았던 여행의 시작. 따스한 주말 낮의 평화로운 거리 동성로에서..."
889,대구약령시한방문화축제/대구여행 지금 대구에서는 2012 대구약령시한방문화축제가 열리고 있다 내가 진짜로 관심을 갖고 있던 한약재와 관련된 축제라 흥미...
890,대구왔으면 대구꿀떡을또 먹어줘야겠쬬?????? 한팩에3000원씩이구... 다들 좋은 여행되세요!!
891,"볼 일이 생겨서 대구에 가보셔야한다는 울 부모님덕에 숙소도 잡지 않고 계획도 짜지 않고, 진정한 무계획 여행을 떠나게 되었어요. 대구여행 간다는데 골프백 챙기는 울..."
892,버스를 타고 대구역으로 우리와 함께 탔던 일행도 서울에서 대구여행을 온 여행자들같았다. 대구에도 소소하게 볼거리가 많은 여행지라는것을 이제야 알게되다니 * * *
893,다음 먹방지를 찾아 떠납니다~ 이번 대구 여행의 컨셉은맛집탐방이자... 드디어 대구의 번화가동성로에 도착! 거리마다 깔끔하게 정돈되어마치 명동이랑도 비슷한...
894,"[대구여행] 대구 이월드 별빛벚꽃축제 2018. 03. 29. 이월드에 벚꽃이 폈다는 소식을 듣고 퇴근 후 달려갔다. 진해도 가보고, 섬진강도 가보고, 벚꽃축제로 유명한 곳..."
895,오늘은 대구 여행다녀온거 대구 2박3일 먹방여행 프롤로그를 소개할려고하는데요 ㅎㅎ 역시 대구는 대프리카였어요 ㅎㅎ 도착하니 25도는 훌쩍넘기더니 최고 31도까지...
896,이번 여름휴가를 또 경주로 가려다가 성수기에 펜션이 없어서 급 체인지 한 대구여행 역시 성수기 없는 대구는 차가 안막히더라능.. 부산에서 아침 10시에 출발 1시간 좀...
897,껌딱지 남푠님따라 대구여행 청라언덕 근대골목투어 근대로의 여행을... 근대로의 여행 골목투어 2코스의 출발지이기도 합니다. 청라언덕은 대구의 기독교가...
898,페북 구경중에 나리꼬모 정말 가고싶다며 노래를 불렀는데 드디어 대구 여행중... 000 [대구 나리꼬모] 주소: 대구 수성구 달구벌대로 2683 영업시간: 매일 12:00~21:00 TEL....
899,"<대구여행 : 대구 계산성당> 김이슬DewKim_대구 계산성당_한지에 채색_53x80.3cm... "" <그림읽기>함께하는 이와 여행한 첫 성당.그날, 알록달록 꽃들은 만개하여..."
900,대구여행 :: 마루막창 먹고 왔어요 대구를 가면 빠질 수 없는 음식이 막창인 것 같아요 ㅎㅎ 대구에서 방문했던 마루막창 후기에요 유명한 대구막창집답게 커다란...
901,"6.10 토요일 대구여행, 대구카페투어~ #대구카페, #대구카페투어, #대구카페백금당, #백금당1호점, #백금당커피, #대전카페추천, #대전카페여행, #대전여행, #잎산카페거리"
902,오늘은 #대구여행 세째날 일정중 가장 멋진 풍경을 선사해준 곳... 대구 달성군의... 대구여행은 '2018 가을여행주간 대구 여행지원 프로젝트'에 선정되어 다녀왔습니다. >
903,대구여행 첫째날은 늦게 도착해 늦은 새벽 구공탄 막창으로 마무리하고 일찍 일어나 다음날에는 대구 대명시장 나들이 시장구경은 언제나 즐거우지^^ 대구대명시장...
904,대구에서 대구를 여행하는 기분으로...^^ 대구여행 다녀왔지요^^ ㅎㅎㅎ 대구여행 숙박으로는 호텔드포레 로 결정! 바로 스파밸리 숙박 할 수 있는 곳이에요!...
905,대구1박2일여행코스 프롤로그로 본 대구여행 대구 달성군 여행을 다녀온지 한달이 되지 않아 또다시 대구여행을 하게 되었는데요 이번 대구여행은 근대역사로의...
906,대구팔공산 대구동문회주최로 총동문행사가 진행 전국에서 500여 동문들이 모여... 인동초 향이 넘 좋습니다 #대구여행 #팔공산둘레길 #아침산책 #밤샘토크 #또래친구들
907,"드디어 마지막 대구여행 둘째날 포스팅! 내가 진짜 대구에 갔던 이유 소영이 결혼식! 넘 예뻤던 소영이 잘 살아 소영아, 꽃길만 걷자 소영이 결혼식에서 오랜만에 만난..."
908,지난 번에 이은 맛집 포스팅입니다 ㅎㅎ 주말에 #대구여행 을 다녀왔는데요 목적이 이월드할로윈축제 였기 때문에 다른 스팟들은 가지 않았어요 동대구역 -> 이월드...
909,대구 여행코스 아이와 함께 떠나는 가족여행 당일치기코스 체험과 볼거리! 모두... 그럼 저와 같이 대구 당일치기여행 떠나볼까요~~~????!!!!! 처음 갈 곳은...
910,"2014대구여행 김광석 다시그리기 길 대구2호선 경대병원역 3번출구로 고고고 이정표가, 잘표시되어있으니 헤메지는 않아요! 3번출구로 나와서 쭉 직진하면 드뎌 보입니다..."
911,칼정은입니다 '_' 지지난주 정도 ~~ 일이있어서 경산쪽에 갔다가 대구 놀러갔는데요!... ㅋㅋㅋ 그래서 갈 엄두도 못냈는데 대구여행 가서 이렇게 먹게되니 참 아이러니한...
912,오랜만에 돌아온 대구여행 이야기~ ㅎㅎㅎ 대구 숙소에서 하룻밤을 자고 여행 둘째날 아침이 밝았다 숙소와 가까이 있어서 가볍게 들러본 대구가볼만한곳 달성공원...
913,길은 대구여행 가시는 분들은 꼭 들러보시는 명소에요 전 대구역에서 여기까지... 대구 곳곳에 여행안내소가 잘 설치되어 있어요 저도 여기서 지도 하나 받아들고 골목...
914,"작년 12월 대구여행 경상감영 공원으로 향하는데 새로이 오픈하는 건물 하나가... 희움, 대구시민에게 감사의 박수를 보내고 싶다 역사가 된 이야기 이지만 잊어서는..."
915,둘다 한번도 가보지 못했던 대구로 떠났어요! 숙소를 어디로 잡을까~ 대구여행은 처음이고. 둘다 여행을 짜놓고 너무 바빴어서 숙소도 3일전에 겨우 예약을했어요....
916,"[대구여행]대구향촌문화관/대구사진찍기좋은곳/대구가족여행추천 그때 그 시절, 대구향촌문화관 그시절 대구 사람들은 어떻게 살았을까? 주소 : 대구 중구 중앙대로..."
917,대구여행 원조 돼지갈비찜 [대구가볼만한맛집] 대구의 음식은 매운맛이 유명하다 특히 매운복불고기와 매운갈비찜이 유명한 곳이다 이곳 상호가 원조 돼지갈비찜인...
918,대구여행 1박2일 ~근대골목투어부터 대구 추천여행지까지~ 한달만에 다시 찾은 대구여행... 지난 10월초에 다녀온 대구여행이 팔공산을 중심으로 다녀온...
919,대구 여행 코스 4. 대구 야경 앞산 전망대 + 케이블카 대구 야경보러 앞산 전망대를 가기 위해 저는 명덕역에서 남구 1-1버스를 타고 앞산공원 전망대에 내렸습니다....
920,작년에 대구에 다녀온 적이 있어요 그 때는 김광석 거리밖에 가보지 못했는데... 아무튼.. 대구여행을 하시는 분들께 근대문화골목 투어를 적극 추천합니당 ㅎㅎ
921,"과거로의 문학여행, 대구문학로드로 대구 여행 떠나볼까요? 대구문학로드는 A코스인 태동길, B코스인 교류길이 있습니다. 대구문학로드 투어는 인터넷으로 신청..."
922,"좋겠습니다 대구 맛집, 대구 여행 가볼만한 곳으로 자리매김하며 꾸준히 사람들이 찾는 그런 곳이 되었으면 좋겠어요! 칠성시장 야시장 음식 종류에요~ 제가..."
923,2018/05/27 대구 2013년에 가고 오랜만에 대구다녀오깅 ㅋㅋㅋㅋ 안동 다녀오시는ㄴ... 칸탈루프 멜론 아이스크림은 메로나맛이었던고같댜 ㅋㅋㅋㅋㅋㅋ? 잠깐의대구여행?끝~
924,2박3일 대구여행 앞산케이블카 대구시내를 한눈에~ 저녁에 대구를 와서 하룻밤이... 외국인여행객도 사진찍기에 바빴당..ㅋㅋ 이리저리 사진을 찍다가 앉아 계시는...
925,먹고 대구여행으로 고고씽 했답니다. 동성로에서 근대골목여행 현수막들이 막... 저의 대구여행 대구근대골목투어 1탄 !! 사진들이 아직많아서 2탄으로 고고고 사실...
926,대구가볼만한곳 서문시장 대구여행 먹거리도 많고 원단 도매시장이 잘이루어져... 외국 여행객들도 보였답니다독특하게 콩나물이 들어가는 떡볶이와 순대외에 다양한...
927,"대구여행,대구가볼만한곳 골목을 걷다. 진골목, 미도다방 도심의 빌딩 사이로... 이층에 있는 미도다방은 입구 부터 마치 시간여행을 하듯 정겹다. 말 그대로 '다방..."
928,조금 지나긴 했지만 9월에 떠났던 대구여행을 이제서야 포스팅하게 됐어요 회사 일 마치고 출발을 해서 9시가 넘어서야 도착한 대구 김광석거리 항상 인스타에서만 보고...
